# Obs Date        Velocity      Error
# (Days)           (m/s)        (m/s)
11341.121         22.3         3.8
11368.944        -29.7         4.1
11372.138        -71.4         4.5
11373.060         49.2         4.0
11374.059         47.6         3.7
11410.017        -53.2         3.6
11410.968        -65.2         4.0
11411.938         63.8         4.3
11438.812        -80.1         3.7
11551.693        -85.3         4.0
11551.698        -79.0         3.0
11552.700         40.3         3.9
11679.105        -31.5         3.8
11703.122        -78.7         3.7
11704.099         10.0         3.3
11705.105         77.2         4.3
11706.103        -42.1         3.6
11707.109        -52.7         3.7
11754.979         28.2         3.0
11755.023         21.0         3.2
11755.977        -80.7         3.6
11792.796         78.2         4.0
11882.707        -77.9         3.9
11883.720          3.9         4.1
11900.720        -76.6         3.5
12063.112        -55.6         3.8
12102.007        -49.6         4.1
12446.130        -39.8         3.7
12514.970         33.8         3.6
12535.850         -3.5         4.2
12575.732         91.9         4.1
12806.975        -31.8         3.8
12836.008         71.4         3.4
12848.973        -67.7         3.9
12849.990         67.7         3.3
12850.952         53.8         3.4
12853.958         81.6         3.6
12855.003        -21.1         3.8
12856.011        -73.2         4.2
12897.821        -81.0         3.7
12898.811        -16.4         3.6
12924.769         75.3         3.6
12987.702         78.2         3.8
13154.084         46.4         4.2
13180.093        -86.9         3.9
13182.037         69.7         3.6
13195.904         82.2         4.9
13196.931        -34.2         3.7
13239.913        -75.3         3.7
13240.894         20.4         4.1
13301.700         85.4         3.5
13302.849        -50.9         3.9
13302.851        -51.2         4.2
13338.753        -78.5         3.0
13339.753         41.3         3.2
13367.693          5.0         3.1
13367.697         11.7         3.1
13368.699         85.3         3.3
13368.704         82.9         2.8
13369.688        -35.7         3.1
13369.694        -28.8         3.1
13370.694        -61.9         3.2
13370.698        -60.3         2.8
