#Data from O'Donovan et al 2006, ApJ, 651, L61
#http://adsabs.harvard.edu/abs/2006ApJ...651L..61O
#Obs Date      Velocity    Error
#(Days)          (m/s)     (m/s)
53949.76054     135.5      6.1
53949.91993      96.8      6.1
53950.00216      58.9      7.7
53950.79018    -201.0      8.1
53950.93491    -204.8      9.0
53950.98051    -201.7      9.0
53951.02136    -198.5      7.2
53951.75032      91.7      6.0
53951.84863     136.7      7.0
53951.95209     140.5      7.1
53952.02736     145.6      8.4
